date,locality,state,location_detail,online,type,title,macroevent,actors,organizations,participants,claims,valence,issues,issues_major,size_text,size_low,size_high,size_mean,size_cat,arrests,arrests_any,injuries_crowd,injuries_crowd_any,injuries_police,injuries_police_any,property_damage,property_damage_any,chemical_agents,participant_measures,police_measures,participant_deaths,police_deaths,source_1,source_2,source_3,source_4,source_5,source_6,source_7,source_8,source_9,source_10,source_11,source_12,source_13,source_14,source_15,source_16,source_17,source_18,source_19,source_20,source_21,source_22,source_23,source_24,source_25,source_26,source_27,source_28,source_29,source_30,notes,lat,lon,resolved_locality,resolved_county,resolved_state,fips_code
2023-08-03,Sacramento,CA,16th St and J St,0,vigil,Stop Wars Weekly Vigil,NA,Sacramento Area Peace Action,Sacramento Area Peace Action,NA,"for peace, for non-interventionist and non-nuclear U.S. foreign and military policy",1,military,military,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,https://www.sacpeace.org/event/stop-wars-weekly-vigil-at-the-corner-of-16th-j-sts-sacramento-42/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stop Wars Weekly Vigil every Thursday,38.5815719,-121.4943996,Sacramento,Sacramento County,CA,06067
2017-09-29,Farmington,ME,Farmington Post Office,0,vigil,NA,NA,Women in Black; Veterans for Peace,Women in Black; Veterans for Peace,NA,"for peace, against war",0,military,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,https://www.sunjournal.com/2022/02/10/farmington-weekly-peace-vigil-celebrates-20th-anniversary/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,every Friday since 2002,44.6705,-70.151217,Farmington,Franklin County,ME,23007
2023-10-19,New York,NY,"Empire State Building, Manhattan",0,protest,NA,NA,Climate Defiance,Climate Defiance,NA,"for urgent climate action, against U.S. Federal Reserve's continued financing of fossil fuel project, Fed is burning: money / futures / planet, off fossil finance Jerry! off fossil finance!, off fossil finance Fed! off fossil finance!",1,banking and finance; economy; energy; environment,banking and finance; economy; energy; environment,count video,6,10,8,1,NA,0,NA,0,NA,0,NA,0,0,disrupted Economic Club of New York luncheon featuring Federal Reserve chair Jerome Powell with banners and chanting; verbally confronted Powell,NA,NA,NA,https://twitter.com/ClimateDefiance/status/1715112864183132340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private security forcibly removed some protesters,40.7127753,-74.0059728,New York,NA,NY,36061
2021-11-19,Kenosha,WI,Kenosha County Courthouse,0,counter-protest,NA,20211119-kenosha-rittenhousetrial,NA,NA,NA,"in support of Kyle Rittenhouse, for Second Amendment rights, self-defense is not a crime, free Kyle",2,guns,guns,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,verbal clashes and physical confrontations with protesters; shouted over impromptu press conference by protesters after verdict was announced,on scene,NA,NA,https://twitter.com/ScooterCasterNY/status/1461775635102195712,https://twitter.com/BGOnTheScene/status/1461774268107210753,https://twitter.com/MrOlmos/status/1461770886177042437,https://twitter.com/MrOlmos/status/1461795838213206020,https://twitter.com/i/lists/1319295328718290944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.584742,-87.821185,Kenosha,Kenosha County,WI,55059
2019-12-06,Minnetonka,MN,12601 Ridgedale Dr,0,protest; strike,NA,NA,general protestors,NA,NA,protest climate inaction,1,environment,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,fridaysforfuture.org,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.921184,-93.468749,Minnetonka,Hennepin County,MN,27053
2020-09-12,Tarrytown,NY,on the waterfront,0,rally,NA,NA,police supporters,NA,NA,"in support of police, for President Trump",2,policing; presidency,NA,hundreds,200,200,200,2,0.0,0,0.0,0,0,0,0,0,0,NA,NA,NA,NA,https://westchester.news12.com/back-the-blue-rally-draws-police-supporters-to-tarrytown-42621104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.0762077,-73.8587461,Tarrytown,Westchester County,NY,36119
2022-07-02,Cedar Falls,IA,"Planned Parenthood, 2520 Melrose Dr",0,rally,Be Prepared to Defend Bodily Autonomy,NA,NA,NA,NA,"against overturning Roe v. Wade, for bodily autonomy",1,judiciary; reproductive rights,judiciary; reproductive rights,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,https://twitter.com/andrealgeary/status/1543245172456185858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Be Prepared to Defend Bodily Autonomy,42.534899,-92.445316,Cedar Falls,Black Hawk County,IA,19013
2022-07-28,Washington,DC,National Mall,0,counter-protest,NA,20220728-dc-1776rm,Freedom Squirrel; Defender of Ants,Freedom Squirrel; Defender of Ants,NA,against continued presence of convicted sex offenders in 1776 Restoration Movement,0,sexual violence,sexual violence,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,argued with protesters,NA,NA,NA,https://twitter.com/Truthfinder1235/status/1552708586089787392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9071923,-77.0368707,Washington,District of Columbia,DC,11001
2018-11-04,Morrisville,NC,NA,0,protest,NA,NA,general protestors,NA,NA,against proposed student school reassignment plan,0,education,NA,NA,NA,NA,NA,0,0,0,0.0,0,0,0,0,0,NA,NA,NA,NA,NA,https://abc11.com/education/wake-co-parents-protest-school-district-reassignment-plan/4617956/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.823483,-78.825562,Morrisville,Wake County,NC,37183
2024-02-17,Bucksport,ME,Bucksport-Verona Island Bridge,0,demonstration,Weekly Bridge Standout,NA,Solidarity Bucksport,Solidarity Bucksport,NA,"against racism, against police brutality, for reproductive rights, for LGBTQ+ rights, for women's rights, for peace",1,lgbtqia; military; policing; racism; reproductive rights; women's rights,lgbtqia; military; policing; racism; reproductive rights; women's rights,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,https://www.facebook.com/solidaritybucksport,https://www.wabi.tv/2023/01/07/solidarity-bucksport-hosts-curbside-demonstration-remember-jan-6th-insurrection/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Weekly Bridge Standout every Saturday since August 2020,44.6289696,-68.7701225,Bucksport,Hancock County,ME,23009
2022-01-24,Indianapolis,IN,Indiana Statehouse,0,rally,NA,NA,Students for Life for America; students; church groups; elected officials,Students for Life for America,students; church groups; elected officials,"against abortion, for state legislation restricting access to abortion, I am the pro-life generation",2,legislative; reproductive rights,legislative; reproductive rights,about 450,450,450,450,2,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,https://www.newsandtribune.com/news/anti-abortion-rally-calls-for-more-state-restrictions/article_046ea58a-7d65-11ec-bdd9-c71829eb8073.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.768403,-86.158068,Indianapolis,Marion County,IN,18097
2023-01-28,Chicago,IL,Chinatown,0,vigil,NA,NA,elected officials; community leaders; members of the public,NA,elected officials; community leaders; members of the public,"in remembrance of victims of mass shootings in Monterey Park and Half Moon Bay, for Asian American solidarity",0,guns; racism,guns; racism,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,https://abc7chicago.com/lunar-new-year-celebration-near-me-parade-chinatown-chicago/12747392/,https://www.nbcchicago.com/news/local/it-breaks-my-heart-victims-of-recent-california-mass-shootings-honored-at-chinatown-vigil/3057632/,https://wgntv.com/news/chicago-news/chicago-celebrates-lunar-new-year-remembers-california-shooting-victims/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.878114,-87.629798,Chicago,Cook County,IL,17031
2019-07-01,Delmar,NY,"Four Corners, Kenwood Ave and Delaware Ave",0,vigil,NA,NA,Bethlehem Neighbors for Peace,Bethlehem Neighbors for Peace,NA,"for peace, against war",0,military,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,https://bethlehemneighborsforpeace.org/about/,https://altamontenterprise.com/03022023/us-peace-activists-should-noy-amplify-voices-kremlin-supporters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,every Monday since 2003,42.622023,-73.832623,Delmar,Albany County,NY,36001
2022-08-07,Belmont,MA,Waverley Square,0,demonstration,NA,NA,Community Organized for Solidarity,Community Organized for Solidarity,NA,"against racism, against police brutality",1,policing; racism,policing; racism,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,https://www.instagram.com/p/Cgr6do2uQ-A/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,every Sunday,42.39564,-71.177611,Belmont,Middlesex County,MA,25017
2018-04-20,Frisco,TX,Lone Star HS,0,walkout,NA,NA,students,NA,NA,support gun reform and school safety,1,education; guns,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,http://www.wfaa.com/article/news/education/student-walkouts-on-columbine-anniversary-across-north-texas/287-543504371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.150674,-96.823612,Frisco,Collin County,TX,48085
2023-03-01,Waukee,IA,NA,0,walkout,NA,NA,Iowa WTF; Iowa Queer Alliance; students,Iowa WTF; Iowa Queer Alliance,students,"against discriminatory state legislation that will hurt LGBTQ+ and BIPOC students, in solidarity with LGBTQ+ and BIPOC peers",1,education; legislative; lgbtqia; racism,education; legislative; lgbtqia; racism,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,https://www.desmoinesregister.com/story/news/education/2023/03/01/hundreds-of-iowa-students-walk-out-to-protest-lgbtq-bills/69949781007/,https://www.kcrg.com/2023/02/28/student-walkouts-planned-statewide-protest-proposed-anti-lgbtq-legislation/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.6149579,-93.8722165,Waukee,Dallas County,IA,19049
2020-06-12,New York,NY,Bronx; 1010 E 174th Street,0,protest,NA,NA,general protesters,NA,NA,antiracism; against police brutality,1,policing; racism,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,justiceforgeorgenyc Instagram,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.7127753,-74.0059728,New York,NA,NY,36005
2021-10-26,San Antonio,TX,Tobin Center for the Performing Arts,0,strike; picket,NA,NA,American Federation of Musicians Local 23; musicians,American Federation of Musicians Local 23,musicians,"for a fair contract for San Antonio Symphony workers, against layoffs and pay cuts",0,labor,labor,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,https://news4sanantonio.com/news/local/houston-musicians-protest-alongside-san-antonio-symphony-over-contract-dispute,https://www.tpr.org/arts-culture/2021-11-05/still-on-strike-gulf-between-san-antonio-symphony-musicians-and-management-widens,https://www.sanantoniomag.com/san-antonio-symphony-musicians-rally-as-strike-continues/,https://www.sacurrent.com/sanantonio/waging-war-symphony-society-slashes-health-benefits-as-latest-volley-in-ongoing-musicians-strike/Content?oid=27472573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.4251905,-98.4945922,San Antonio,Bexar County,TX,48029
